PROVNUM,emp_hrs_nurse,ctr_hrs_nurse,total_hrs_nurse,emp_ctr_ratio_nurse,emp_hrs_non,ctr_hrs_non,total_hrs_non,emp_ctr_ratio_non,emp_hrs,ctr_hrs,total_hrs
345144,1663.1623076923079,567.8076923076923,2230.9700000000003,2.9290943575154107,190.39000000000001,157.81923076923078,348.20923076923077,1.2063802305461457,1853.552307692308,725.626923076923,2579.1792307692313
345145,1743.736923076923,289.1838461538462,2032.920769230769,6.029855907474349,0.0,0.0,0.0,,1743.736923076923,289.1838461538462,2032.920769230769
345146,2022.4476923076918,292.9807692307692,2315.428461538461,6.903004922874957,148.81307692307692,252.6107692307692,401.4238461538461,0.5891002880686006,2171.260769230769,545.5915384615384,2716.8523076923075
345149,1076.8746153846155,188.77769230769232,1265.6523076923079,5.704459050327817,121.00999999999998,252.18384615384616,373.19384615384615,0.47984834019137435,1197.8846153846155,440.96153846153845,1638.8461538461538
345150,952.9807692307693,486.45692307692303,1439.4376923076923,1.9590239629091992,333.80692307692306,4.258461538461537,338.0653846153846,78.38674132947979,1286.7876923076924,490.71538461538455,1777.503076923077
345151,2202.4423076923076,693.1430769230768,2895.5853846153846,3.177471406724775,338.15384615384613,242.5623076923077,580.7161538461538,1.3940906539477562,2540.596153846154,935.7053846153846,3476.3015384615383
345152,3395.1153846153848,0.0,3395.1153846153848,inf,313.28846153846155,264.2815384615384,577.5699999999999,1.1854345307742913,3708.403846153846,264.2815384615384,3972.6853846153845
345153,1798.5423076923075,0.0,1798.5423076923075,inf,326.5192307692308,113.92384615384617,440.44307692307694,2.8661183921783104,2125.0615384615385,113.92384615384617,2238.9853846153846
345155,2561.776153846154,108.86307692307693,2670.639230769231,23.532093950057234,924.2900000000001,306.81230769230774,1231.102307692308,3.012558417072828,3486.066153846154,415.6753846153847,3901.7415384615388
345156,2102.024615384615,0.0,2102.024615384615,inf,158.8676923076923,178.70769230769235,337.5753846153847,0.8889807162534432,2260.8923076923074,178.70769230769235,2439.6
345159,2027.2692307692307,0.0,2027.2692307692307,inf,825.3461538461538,5.461538461538462,830.8076923076923,151.11971830985914,2852.6153846153848,5.461538461538462,2858.0769230769233
345160,2697.385384615385,324.5769230769231,3021.962307692308,8.31046569498756,242.7146153846154,481.00692307692316,723.7215384615386,0.5045969272791532,2940.1000000000004,805.5838461538463,3745.6838461538464
345161,4005.3553846153845,0.0,4005.3553846153845,inf,345.03000000000003,337.00307692307695,682.033076923077,1.0238185453682231,4350.385384615384,337.00307692307695,4687.388461538461
345162,1345.0630769230772,35.053076923076915,1380.1161538461542,38.37218284359983,190.25230769230768,201.06230769230768,391.31461538461537,0.9462355718280977,1535.315384615385,236.11538461538458,1771.4307692307696
